solar_power_plant,PC1,PC2,PC3
Northeast_T4_H4_l,-0.3858498052065359,0.4506528385188541,0.5612587136611851
Northeast_T4_H4_m,1.9588357849357938,-0.25677726743180934,0.5747400687213391
Northeast_T4_H4_s,-0.8543862545426567,0.957130997050541,0.013117107090574011
Northeast_T5_H4_l,-0.39862405852545113,0.43818882446361096,0.560932911445381
Northeast_T5_H4_s,-1.659998442007666,0.5479747861709443,-0.9699087990627238
Northwest_T1_H2_l,1.9212790118036471,-0.7118853673858427,0.10347548221132102
Northwest_T4_H3_l,1.9394356990486796,-0.24506201832099836,0.5599123035712856
Northwest_T5_H2_l,1.1682018184147576,0.09345556428228233,0.49569879398082034
Ohio Valley_T4_H4_s,-0.8691082140248149,1.3802745324033794,0.846198664445187
Southeast_T5_H4_l,0.5314914081539255,-0.8125098208334754,0.45592280613994424
Southeast_T5_H4_m,-2.0631227651257227,-1.3896848915849467,0.6637728092793883
Southeast_T5_H5_m,-2.2770270816949547,-1.2819887330540092,1.3006720442390094
Southeast_T6_H4_l,2.1120650640356806,-0.7224414026818733,0.3245809506026895
Southeast_T6_H4_m,-3.3373485149050963,-1.5185410805201627,0.8527761504399615
Southwest_T5_H3_s,-0.7773572861912419,1.3928483791566253,0.7813027825880605
Southwest_T6_H4_l,-0.16183664981597917,-0.4411471758717439,-0.30736699622758984
Southwest_T7_H3_s,-0.5515069513533151,-0.3105979020681061,-1.0426576300386265
Upper Midwest_T4_H4_l,1.0211423222311753,0.7358322082825517,0.7241614490500106
Upper Midwest_T4_H4_m,-0.2689477887048267,2.3596713298440894,-0.20305657198545368
Upper Midwest_T4_H4_s,-0.34536372181649583,2.564767047335043,-0.08500387269112007
West_T1_H2_l,0.2980774763331486,-0.12056346721427216,0.0941934438282869
West_T1_H2_m,1.9353515187945147,-0.8028374227907926,0.0573986027306156
West_T4_H4_s,-0.3676153884154357,0.0867708135226321,-1.237725262869137
West_T5_H4_l,0.8938060281920741,-0.32415069575242295,-0.18620829726604735
West_T5_H4_m,-0.36743651399949445,-0.31358397274639377,-1.8136230860473572
West_T5_H4_s,-0.8179864780342844,-0.7508382345208844,-1.9065307919233192
West_T6_H4_l,0.6200326668566319,-0.32205102893519905,-0.09257875782908401
West_T6_H4_m,0.4862898906153657,-0.2159888703603124,-0.7184997328846293
West_T6_H4_s,0.6175072249485736,-0.46691796895731164,-0.4069552851999734
